student_id,age,year_of_study,department,attendance_percentage,cgpa_previous_sem,daily_study_hours,weekly_study_hours,study_sessions_per_week,assignment_submission_rate,late_submission_count,revision_frequency_per_week,lms_login_frequency_per_week,lms_time_spent_hours_per_week,video_lectures_watched_per_week,video_completion_rate,practice_quiz_attempts,discussion_forum_posts,resource_diversity_score,class_participation_score,search_skill_score,source_evaluation_score,information_filtering_score,quiz_average_score,midterm_score,assignment_average_score,motivation_level,stress_level,procrastination_score,time_management_score,learning_outcome
STU01001,22,1,Mechanical,53.8,2.42,4.8,30.0,5,52.7,5,4,8,6.9,6,62.6,6,5,5.7,53.8,55.5,40.1,23.8,35.3,39.0,43.1,4,3,8,4,Average
STU01002,18,2,Electronics,40.8,2.75,3.4,20.3,5,30.0,7,2,7,5.4,6,40.9,6,3,4.8,51.9,52.1,64.9,41.5,43.7,38.5,36.2,3,2,8,1,Average
STU01003,18,3,Electronics,52.2,3.19,4.7,28.1,5,57.4,4,4,5,2.8,6,62.4,8,5,5.5,64.9,52.6,54.8,64.1,56.6,49.7,49.7,4,3,4,5,Average
STU01004,20,2,Mathematics,40.0,3.28,3.7,21.5,5,48.1,3,4,6,3.0,4,40.9,4,2,5.1,47.7,72.5,83.0,76.1,54.5,61.7,56.1,2,4,4,5,Average
STU01005,19,2,Electronics,66.0,3.27,6.1,37.5,5,64.9,4,5,10,5.9,8,88.3,8,4,7.2,73.5,45.4,53.7,46.0,47.3,53.1,52.7,5,4,5,4,Good
STU01006,19,4,Mathematics,40.5,2.59,3.0,17.5,5,53.2,5,4,3,3.3,2,38.5,6,3,5.2,37.3,67.8,54.0,67.4,36.6,26.4,46.5,3,3,5,5,Average
STU01007,18,1,Electronics,72.4,4.0,5.6,34.9,5,65.1,4,5,6,4.3,7,68.4,9,3,7.4,77.5,80.3,80.3,65.5,58.5,59.3,62.2,4,4,4,5,Good
STU01008,20,4,Electronics,51.0,3.15,4.7,25.6,5,59.6,3,5,5,2.4,5,45.7,5,4,5.8,52.5,71.1,71.0,78.5,48.3,63.7,62.9,3,4,3,6,Good
STU01009,20,1,Mathematics,46.0,1.65,4.5,24.6,5,57.4,5,4,5,2.8,5,51.6,6,4,5.1,48.9,28.7,32.6,25.8,34.6,32.4,37.4,4,4,5,3,Average
STU01010,19,2,Business,65.6,3.93,6.1,37.7,6,81.5,2,6,9,6.5,6,66.9,8,3,6.9,77.0,69.3,52.7,68.7,57.6,57.3,86.0,4,3,2,8,Excellent
STU01011,21,2,Mechanical,72.4,3.54,6.6,40.3,5,66.3,4,7,9,3.9,6,76.6,10,5,7.1,76.6,67.1,56.0,60.7,50.9,56.7,70.0,5,3,4,7,Good
STU01012,20,2,Business,40.0,2.19,2.9,16.6,6,51.1,3,3,4,4.1,4,36.1,3,1,4.2,38.7,67.0,36.6,46.9,39.3,46.3,46.4,2,1,4,6,Average
STU01013,20,3,Computer Science,53.5,2.28,5.0,30.4,5,66.9,3,5,7,5.5,7,58.6,5,3,6.2,50.3,42.2,44.4,39.4,40.7,29.7,48.4,4,2,4,6,Good
STU01014,18,2,Computer Science,53.8,3.51,6.1,36.8,5,56.8,4,4,5,3.3,6,62.4,5,3,5.7,63.1,66.5,56.3,54.7,51.9,58.3,48.8,3,3,6,5,Good
STU01015,18,2,Business,48.9,2.57,4.3,25.1,5,63.7,2,4,2,0.9,3,46.1,4,1,3.4,37.2,58.6,37.7,46.7,35.2,53.4,53.9,2,3,3,6,Average
STU01016,19,2,Mathematics,51.9,2.04,4.7,27.4,5,50.1,5,4,7,4.6,6,59.4,8,4,5.5,62.3,30.2,31.4,38.6,40.9,43.2,40.7,5,3,6,3,Average
STU01017,18,4,Computer Science,40.0,3.31,3.2,21.1,6,50.1,5,3,3,0.9,3,40.6,5,1,3.6,35.2,63.2,67.8,51.3,55.0,48.2,42.8,3,2,4,6,Average
STU01018,20,2,Mechanical,52.0,3.37,4.7,28.0,5,72.0,4,5,5,2.8,4,53.1,7,2,5.9,48.4,53.8,66.0,72.7,48.4,57.8,55.4,3,2,3,7,Good
STU01019,21,1,Mechanical,40.0,1.51,3.3,19.7,5,67.3,4,4,5,2.7,3,47.8,4,2,4.9,43.8,33.8,37.9,35.1,25.1,20.0,52.9,2,3,4,5,Poor
STU01020,19,1,Computer Science,51.1,3.26,5.0,29.5,5,62.4,3,4,7,5.3,4,56.5,6,2,5.8,59.4,73.5,59.0,71.8,41.4,54.3,57.7,3,4,4,6,Good
STU01021,20,2,Electronics,54.3,3.14,4.4,24.6,5,68.0,3,5,5,4.0,4,51.9,5,2,5.8,57.2,66.0,59.1,74.3,49.8,49.3,64.3,3,1,3,7,Good
STU01022,19,1,Mechanical,68.3,4.0,6.2,36.9,5,80.6,2,6,9,3.9,7,77.3,9,4,6.5,67.5,77.5,68.2,70.2,65.7,72.0,68.5,3,3,4,7,Excellent
STU01023,22,2,Mathematics,55.7,1.83,2.5,13.2,4,67.9,2,6,3,2.1,3,49.8,4,2,4.8,31.9,42.9,27.2,50.1,23.2,36.8,60.3,4,1,2,8,Average
STU01024,19,1,Civil,57.7,3.18,5.3,29.3,6,57.5,3,5,6,4.4,4,68.5,7,3,5.7,53.3,60.2,48.5,56.9,45.6,41.5,56.9,3,4,4,6,Good
STU01025,18,4,Computer Science,43.1,3.19,4.5,26.7,5,74.5,2,5,5,1.5,5,44.4,6,4,4.9,53.1,67.0,61.3,68.5,52.0,53.8,53.5,3,1,3,6,Average
STU01026,19,3,Civil,49.4,2.9,3.8,23.0,5,56.9,5,5,6,5.8,6,44.1,4,3,5.1,54.3,60.6,67.6,63.7,51.4,54.1,49.8,3,4,5,5,Good
STU01027,19,3,Electronics,55.0,2.98,4.8,28.3,4,57.8,5,3,8,6.9,7,45.8,7,4,4.1,53.8,56.6,56.9,52.9,46.6,47.9,46.4,4,4,6,4,Average
STU01028,22,3,Civil,42.7,2.54,4.2,25.2,6,48.1,5,3,5,5.7,2,53.6,5,3,4.7,47.6,46.2,52.5,45.8,43.7,33.4,46.8,2,3,5,4,Poor
STU01029,18,1,Computer Science,57.1,2.73,4.4,25.3,5,44.6,6,3,4,3.8,4,50.3,6,2,5.8,46.8,67.7,65.8,66.7,52.5,53.5,46.5,3,4,6,4,Good
STU01030,18,3,Mechanical,64.3,3.66,5.7,35.0,6,71.8,3,6,5,4.8,5,52.2,6,3,5.9,64.2,51.3,63.5,68.7,51.8,66.5,64.2,3,2,4,6,Good
